"Case ID","Case","Automation Status","Automation Test Level","Configurations","Created at","Created by","Description","Estimate","Expected","Folder","Forecast","Issues","Preconditions","Priority","State","Status (latest)","Status date","Steps","Steps (Expected)","Steps (Step)","Tags","Template","Test Case Category","Updated at","Updated by"
"327","Verify the ability to install the Picker App in the GC App Store","Not Automated","None","","2024-01-16T12:08:17.950Z","Nadeera Abeykoon","","","","Grubcenter Configuration","","","<p>User should have logged into GC and navigated to App Store.</p><p> </p><figure class=""image""><img src=""/attachments/view/4"" alt=""4"" /></figure>","Normal","Active","","","","<p>Should be redirected to Applications page where all the already installed available apps are visible</p>
<p>Should be redirected to Add New Application page where all the uninstalled apps are visible</p>
<p>Should be able to see Picker application option with an Install button</p>
<p>The Picker application should be installed</p>","<p>Click on the Applications tab</p>
<p>Click on App Store</p>
<p>Search for the Picker App</p>
<p>Install the application by clicking on the ""Install"" button</p>","functional","Case (steps)","Smoke","2024-01-19T12:31:51.930Z","Nadeera Abeykoon"
"328","Verify the ability to configure a user with Activate Picker, Deactivate Picker and Picker standard functionality permissions","Not Automated","None","","2024-01-16T12:08:17.974Z","Nadeera Abeykoon","","","","Grubcenter Configuration","","","<p>User should have logged into GC and it should have access to ""User Management"" section The Picker application should be installed for the partner account</p>","Normal","Active","","","","<p>Should be able to see all the roles that are created so far.</p>
<p>Role Info window should be visible with Role Name &amp; Description fields</p>
<p>Permission window should be visible with all the permissions including Picker app. Under the Picker app these mentioned permissions should be included 1. Activate Picker 2. Deactivate Picker 3. Picker standard functionality</p>
<p>All the permissions under Picker app should be unchecked by default</p>
<p>The permissions should contain these information in the tool tips |||:Permission|:Information || Activate Picker | User will be able to activate the picker application for the outlet with the given email and password. || Deactivate Picker | User will be able to deactivate the picker application by logging out. || Picker standard functionality | User will be able to access and manage orders by picking items, updating availability of items, substitutions and printing.</p>
<p>The permissions under Picker app will be granted for the specific role &amp; ""Add Role"" button should be enable</p>
<p>Window should be closed with an alert saying 'Successfully created a new role' and the created role should be visible on Roles page</p>
<p>Should be able to see all the groups that are created so far.</p>
<p>Group Info window should be visible with Group Name &amp; Description fields</p>
<p>Brand &amp; Location selection window should be visible with Select Kitchen(s) &amp; Select Brand(s) options</p>
<p>Next button should be enabled</p>
<p>Assign Users window should be visible with enabled Done button</p>
<p>Window should be closed with an alert saying 'Successfully created a new group' and the created group should be visible on Groups page</p>
<p>Should be able to see all the users that are created so far.</p>
<p>User Info window should be visible with following fields. Name Surname Telephone Email Employee ID Assign Group(s)</p>
<p>Next button should be enabled</p>
<p>Assign Role window should be visible with all roles</p>
<p>Role should be selected &amp; Add User button should be enabled</p>
<p>Window should be closed with an alert saying 'Successfully created a new user' and the user should be visible on Users page</p>","<p>Navigates to the ""Roles"" page under ""User Management"" section</p>
<p>Click on the ""New Role"" button in ""Roles"" page</p>
<p>Enter Role Name &amp; Description and then click ""Next""</p>
<p>Verify the default values of the permissions under Picker app</p>
<p>Verify the information tool tip of the permissions under Picker app</p>
<p>Chick on all the check boxes under Picker app</p>
<p>Click on 'Add Role' button</p>
<p>Navigates to the ""Groups"" page under ""User Management"" section</p>
<p>Click on New Group button</p>
<p>Enter Group Name &amp; Description and Click on ""Next"" button</p>
<p>Select 'All' option in ""Select Kitchen(s)"" field and select 'All' option in ""Select Brand(s)"" field</p>
<p>Click on Next button</p>
<p>Click on Done button</p>
<p>Navigates to the ""Users"" page under ""User Management"" section</p>
<p>Click on New User button</p>
<p>Fill all the fields and click on Assign Group(s) &amp; search and select the previously created group</p>
<p>Click on Next button</p>
<p>Click on the previously created Role</p>
<p>Click on Add User button</p>","functional","Case (steps)","Smoke","2024-01-19T12:25:40.376Z","Nadeera Abeykoon"
"4942","test time stamp","None","UNIT","","2024-02-08T13:54:25.227Z","Nadeera Abeykoon","","","","Grubcenter Configuration","","","","Normal","Active","","","","<p>Verify time stamp</p>","<p>Create a test case</p>","","Case (steps)","","2024-02-08T13:59:49.340Z","Nadeera Abeykoon"
"329","Verify the ability to activate the Picker App with a user who has the 'Activate Picker' permission","To Be Automated","API,UI","","2024-01-16T12:08:18.036Z","Nadeera Abeykoon","","","","Activate","","","User should have permission to activate the application (Activate Picker permission should be enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
Should be navigated to the location selection screen if there are more than one kitchen.
Should be navigated to the PIN Screen if there is only one kitchen.","Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button","functional","Case (steps)","Smoke","",""
"330","Verify the inability to activate the Picker App with a user when the Picker App is not installed in the partner account","To Be Automated","API,UI","","2024-01-16T12:08:18.054Z","Nadeera Abeykoon","","","","Activate","","","User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should not be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
Should not be activated the Picker application and a message should be displayed as 

""Pickup App is not installed on GrubCenter"" 
""Please set your kitchen information on GrubCenter to use picker app""
The message window should be closed","Launch the Picker application
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Click on the ""X"" icon on the window","functional","Case (steps)","Regression","",""
"331","Verify the inability to activate the Picker App with a user who doesn't have permission to Activate Picker","To Be Automated","API,UI","","2024-01-16T12:08:18.076Z","Nadeera Abeykoon","","","","Activate","","","User shouldn't have permission to activate the application (Activate Picker permission is disabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
Should not be activated the Picker application and the notification message should be displayed as ""The user does not have the permission to activate""","Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button","functional","Case (steps)","Regression","",""
"332","Verify the availability of a validation message for an invalid email, an invalid password, and both an invalid email and password","To Be Automated","API,UI","","2024-01-16T12:08:18.094Z","Nadeera Abeykoon","","","","Activate","","","User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email and password
Should not be activated the Picker application and the validation message should be displayed as ""Email not fount. Please try again."" under the email field
Should be able to enter the email and password
Should not be activated the Picker application and the validation message should be displayed as ""Wrong password, Try again."" under the password field
Should be able to enter the email and password
Should not be activated the Picker application and the validation message should be displayed as ""Email not fount. Please try again."" under the email field","Launch the Picker App
Enter an incorrect email address and correct password
Click on ""Activate"" button
Enter an correct email address and incorrect password
Click on ""Activate"" button
Enter an incorrect email address and incorrect password
Click on ""Activate"" button","functional","Case (steps)","Regression","",""
"333","Verify the availability of a validation message for an email address with an invalid format","To Be Automated","UI","","2024-01-16T12:08:18.121Z","Nadeera Abeykoon","","","","Activate","","","User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email

A validation message should be displayed as ""Enter your email address in correct format"" under the email field
Should be able to enter the email

The validation message should be displayed as ""Enter your email address in correct format"" under the email field
Should be able to enter the email

The validation message should be displayed as ""Enter your email address in correct format"" under the email field","Launch the Picker App
Enter an invalid formatted email address without an ""@"" symbol
Enter an invalid formatted email address without one character before and after the ""@"" symbol
Enter an invalid formatted email address without valid domain name","functional","Case (steps)","Regression","",""
"334","Verify the ability to activate the Picker App for a user who didn't have activation permission before but received it after enabling it in GC","Not Automated","None","","2024-01-16T12:08:18.139Z","Nadeera Abeykoon","","","","Activate","","","User should not have permission to activate the application (Activate Picker permission is disabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
Should not be activated the Picker application and the notification message should be displayed as ""The user does not have the permission to activate""
Should be able to see the role assigned to this user
Should be able to see all the permissions under the selected role
Should be able to tick the permission check boxes and the ""Save"" button should be enabled
An alert should be popped up and displayed as 'Successfully updated the role' and the updated role should be visible on Roles page
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen","Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Navigate to the ""Roles"" page under ""User Management"" section in GrubCenter
Click on the user role
Click on the ""Activate Picker"" permission checkbox under Picker app
Click on ""Save"" button
Then come back to Picker App and enter the correct email address again
Enter the correct password
Click on ""Activate"" button","functional","Case (steps)","Regression","",""
"335","Verify the ability to activate the Picker App with same user in multiple devices","Not Automatable","None","","2024-01-16T12:08:18.179Z","Nadeera Abeykoon","","","","Activate","","","User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
The Picker app should be installed on 2 devices","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen","Launch the Picker App on Device 1
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Launch the Picker App on Device 2
Enter a correct email address
Enter the correct password
Click on ""Activate"" button","functional","Case (steps)","Regression","",""
"336","Verify the ability to activate the picker app with different users in the same kitchen on multiple devices","Not Automatable","None","","2024-01-16T12:08:18.209Z","Nadeera Abeykoon","","","","Activate","","","Two users should be configured for the same kitchen from the GrubCenter (Ex: User 1, User 2)
Users should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
The Picker app should be installed on 2 devices (Device 1, Device 2)","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
The location should be selected and the ""Next"" button should be enabled
Should be navigated to the login screen
The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
The location should be selected and the ""Next"" button should be enabled
Should be navigated to the login screen","Launch the Picker App on Device 1
Enter the correct email address of User 1
Enter the correct password User 1
Click on ""Activate"" button
Select the location
Click on the ""Next"" button
Launch the Picker App on Device 2
Enter the correct email address User 2
Enter the correct password User 2
Click on ""Activate"" button
Select the same location as previous
Click on the ""Next"" button","functional","Case (steps)","Regression","",""
"337","Verify the availability of the splash screen when the user tries to open the app for the first time after installation","Not Automatable","None","","2024-01-16T12:08:18.251Z","Nadeera Abeykoon","","","","Splash Screen","","","","Normal","Active","","","","Should be able to see the installed Picker App icon on the device
The application is opening with a splash screen and then after few seconds navigating to the activation screen","Install the Picker App on the device
Launch the Picker app by clicking on the app icon","functional","Case (steps)","Smoke","",""
"338","Verify the availability of the splash screen when the user tries to open the app after killing and reopening it, and clearing the app cache","Not Automatable","None","","2024-01-16T12:08:18.262Z","Nadeera Abeykoon","","","","Splash Screen","","","","Normal","Active","","","","Should be able to see the installed Picker App icon on the device
The application is opening with a splash screen and then after few seconds navigating to the activation screen
The application is opening with a splash screen and then after few seconds navigating to the activation screen
The application is opening with a splash screen and then after few seconds navigating to the activation screen","Install the Picker App on the device
Launch the Picker App by clicking on the App icon
Kill and reopen the Picker App
Clear the Picker App cache from App settings and open the Picker App","functional","Case (steps)","Regression","",""
"339","Verify the availability of only specific kitchens in the locations list when the user has access only to those kitchens within the partner account","To Be Automated","API","","2024-01-16T12:08:18.279Z","Nadeera Abeykoon","","","","Kitchen Selection","","","Order SDK should be enabled for the kitchen
Only specific kitchens within the partner account should be confiured for the User Group under ""User Management"" in GrubCenter
User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should have installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
Should be visible only the specific locations that the user has access to.","Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Verify the listed locations on location screen","functional","Case (steps)","Regression","",""
"340","Verify the availability of all kitchens in the locations list when the user has access to all kitchens within the partner account","To Be Automated","API","","2024-01-16T12:08:18.300Z","Nadeera Abeykoon","","","","Kitchen Selection","","","Order SDK should be enabled for the kitchens
All kitchens within the partner account should be configured for the User Group under ""User Management"" in GrubCenter
User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
Should be visible all the locations within the partner account","Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Verify the listed locations on location screen","functional","Case (steps)","Smoke","",""
"341","Verify the ability to automatically navigate to the PIN screen when the user has access to only one kitchen","To Be Automated","UI","","2024-01-16T12:08:18.321Z","Nadeera Abeykoon","","","","Kitchen Selection","","","Order SDK should be enabled for the kitchen
Only one kitchen within the partner account should be configured for the User Group under ""User Management"" in GrubCenter
User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the login (PIN) screen since the use has access to only one kitchen and selected Kitchen name should be visible as ""Location: &amp;lt;Kitchen Name&amp;gt;""","Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button","functional","Case (steps)","Regression","",""
"342","Verify the ability to search for a kitchen in the locations list, select it, and proceed to the login screen","To Be Automated","UI","","2024-01-16T12:08:18.340Z","Nadeera Abeykoon","","","","Kitchen Selection","","","Order SDK should be enabled for the kitchens
All the kitchens within the partner account should be configured for the User Group under ""User Management"" in GrubCenter
User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
Should be able to see the searched location filtered in the location list
The location should be selected and the ""Next"" button should be enabled
Should be navigated to the login screen and selected Kitchen name should be visible as ""Location: &amp;lt;Kitchen Name&amp;gt;"".","Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Search the required location on location screen
Select the required location from the filtered list
Click on the ""Next"" button","functional","Case (steps)","Smoke","",""
"343","Verify the ability to scroll down in the locations list when there are more than 10 kitchens, select one at the bottom, and proceed to the login screen","To Be Automated","UI","","2024-01-16T12:08:18.367Z","Nadeera Abeykoon","","","","Kitchen Selection","","","Order SDK should be enabled for the kitchen
More than 10 kitchens within the partner account should be configured for the User Group under ""User Management"" in GrubCenter
User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
The location should be selected and the ""Next"" button should be enabled.
Should be navigated to the login screen and selected Kitchen name should be visible as ""Location: &amp;lt;Kitchen Name&amp;gt;"".","Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Scroll down the location list and select the one at the bottom on location screen
Click on the ""Next"" button","functional","Case (steps)","Regression","",""
"344","Verify the availability of kitchens when new kitchens are configured for existing brands","Not Automated","None","","2024-01-16T12:08:18.391Z","Nadeera Abeykoon","","","","Kitchen Selection","","","Order SDK should be enabled for the kitchen
""all"" kitchens and ""all"" brands should be configured for the User Group under ""User Management"" in GrubCenter
User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","1. Should be able to see the added kitchen on ""Locations"" page under ""Account Settings""

2. Should be able to see the location account under the existing brand is increased by one on ""Brands"" page under ""Account Settings""
The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
Should be able to see the newly added kitchen in the location list","Add new kitchen for the existing brand from the GrubCenter
Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Verify the newly added kitchen in the location list on location screen","functional","Case (steps)","Regression","",""
"345","Verify the availability of kitchens when new kitchens are configured for new brands","Not Automated","None","","2024-01-16T12:08:18.417Z","Nadeera Abeykoon","","","","Kitchen Selection","","","Order SDK should be enabled for the kitchen
""all"" kitchens and ""all"" brands should be configured for the User Group under ""User Management"" in GrubCenter
User should have permission to activate the application (Activate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","Should be able to see the added brand on ""Brands"" page under ""Account Settings""
1. Should be able to see the added kitchen on ""Locations"" page under ""Account Settings""

2. Should be able to see the location account under the newly added brand is increased by one on ""Brands"" page under ""Account Settings""
The application is opening with a splash screen and then navigating to the activation screen
Should be able to enter the email address
Should be able to enter the password
1. Should be activated the Picker application

2. Should be navigated to the location screen
Should be able to see the newly added kitchen in the location list","Add new brand from the GrubCenter
Add new kitchen for the newly added brand from the GrubCenter
Launch the Picker App
Enter a correct email address
Enter the correct password
Click on ""Activate"" button
Verify the newly added kitchen in the location list on location screen","functional","Case (steps)","Regression","",""
"346","Verify the ability to log in to the Picker App with the already activated user PIN","To Be Automated","UI","","2024-01-16T12:08:18.444Z","Nadeera Abeykoon","","","","Login","","","User should have permission for picker standard functionality (Picker standard functionality permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
Picker app should be activated on the device","Normal","Active","","","","The application is opening with a splash screen and then navigating to the login screen
Should be able to login and navigate to the unclaimed order list screen","Launch the Picker App
Enter the valid PIN of the user who activated the Picker App","functional","Case (steps)","Smoke","",""
"347","Verify the ability to log in to the Picker App with any user PIN except the one with an already activated","To Be Automated","UI","","2024-01-16T12:08:18.456Z","Nadeera Abeykoon","","","","Login","","","User should have the permission for picker standard functionality (Picker standard functionality permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
Picker should be activated on the device","Normal","Active","","","","The application is opening with a splash screen and then navigating to the login screen
Should be able to login and navigate to the unclaimed order list screen","Launch the Picker App
Enter a valid PIN of any user except the one with an already activated PIN","functional","Case (steps)","Regression","",""
